SampleID,unclassified,Firmicutes,Actinobacteria,Bacteroidetes,Proteobacteria,Fusobacteria,Verrucomicrobia,Other
MB-8915,47.12,10.31,0.96,35.77,3.77,0.04,0.46,0.87
MB-5204,58.87,13.69,1.29,17.37,4.96,0.12,0.12,2.62
MB-6535,49.76,15.69,1.37,26.55,2.79,0.05,1.28,1.69
MB-1651,47.85,20.77,1.32,25.14,2.76,0.09,0.03,1.16
MB-2473,36.8,11.52,0.99,43.29,2.26,0.03,3.66,0.63
MB-1047,33.72,7.14,0.9,52.68,1.72,0.02,1.86,1.43
MB-6301,46.12,10.34,0.94,38.08,2.07,0.04,0.04,1.67
MB-8666,49.47,9.48,0.71,33.36,5.4,0.04,0.02,0.78
MB-1547,40.93,9.54,0.77,42.64,3.05,0.06,0.02,2.43
MB-5085,29.86,4.02,0.82,60.27,3.28,0.02,0.02,0.97
MB-8850,47,7.16,0.76,39.61,2.77,0.03,0.17,1.86
MB-8041,39.77,9.9,0.78,44.71,3.45,0.03,0.02,0.76
MB-2253,49.52,11.16,0.42,34.85,1.81,0.06,0.55,0.94
MB-7183,52.57,14.14,1.52,26.05,2.95,0.11,0.34,1.44
MB-5309,33.69,5.27,0.49,57.6,1.96,0.02,0.19,0.44
MB-5090,29.43,3.22,0.21,56.74,9.24,0.02,0.27,0.4
MB-6245,32.45,12.11,0.81,50.29,3.15,0.04,0.01,0.67
MB-8607,42.6,15.96,0.93,37.12,1.95,0.03,0.06,0.71
MB-8419,32.95,22.21,0.98,37.88,3.36,0.09,0.02,1.98
MB-8477,48.31,8.09,1.31,36.33,3.84,0.05,0.24,1.03
MB-2488,30.11,4.29,0.35,62.19,2.28,0.02,0.01,0.45
MB-1979,47.72,14.57,1.02,32.23,2.63,0.05,0.02,1.01
MB-9809,37.46,5.07,0.64,52.97,1.97,0.03,0.05,1.32
MB-8224,47.73,11.96,1.56,32.25,3.03,0.07,0.4,1.9
MB-2562,46.66,13.4,0.83,32.18,2.71,0.1,1.81,1.55
MB-4764,56.48,12.71,1.1,19.36,7.08,0.09,0.32,1.9
MB-4703,49.35,13.58,1.79,29.61,2.79,0.03,0.49,1.54
MB-7533,44.78,6.5,0.76,43.94,2.61,0.04,0.02,0.79
MB-4905,39.39,8.25,0.85,47.39,2.68,0.04,0.02,0.8
MB-1167,41.91,5.91,0.78,44.8,3.16,0.04,0.02,2.86
