SampleID,unclassified,Firmicutes,Actinobacteria,Bacteroidetes,Proteobacteria,Fusobacteria,Verrucomicrobia,Other
MB-5771,42.7,15.01,1.05,36.86,2.35,0.06,0.39,0.89
MB-5482,44.23,15.99,1.96,32.53,3.27,0.03,0.12,0.95
MB-8991,44.85,10.61,0.86,39.15,2.97,0.04,0.03,0.85
MB-7380,65.15,9.82,1.76,14.83,3.77,0.09,0.52,3.1
MB-4130,49.19,8.26,1.1,35.55,4.05,0.04,0.1,0.95
MB-8612,37.96,7.66,0.51,50.37,1.98,0.05,0.06,0.81
MB-4393,57.44,12.09,1.12,24.36,2.35,0.1,0.13,1.48
MB-9696,55.04,11.02,2.14,23.96,4.39,0.05,1.06,1.35
MB-8895,48.18,8.52,2.09,34.72,4.69,0.04,0.03,1
MB-9121,61.82,14.41,1.87,15.42,3.37,0.13,0.18,1.74
MB-4960,49.74,7.44,0.46,37.11,3.53,0.05,0.03,1.15
MB-7067,40.7,6.74,1.67,44.85,2.18,0.06,2.17,0.89
MB-1545,54.86,10.86,1.84,26.14,3.74,0.04,0.17,1.42
MB-4114,36.8,6.17,0.41,53.39,1.58,0.04,0.03,0.7
MB-6243,52.62,12.65,1.49,25.96,3.15,0.12,1.1,1.98
MB-1845,69.83,8.68,1.1,12.48,3.82,0.14,0.1,2.69
MB-3454,41.1,9.12,0.96,43.04,3.21,0.04,0.23,1.71
MB-5981,60.75,11.62,1.18,20.61,3.5,0.08,0.04,1.39
MB-8360,61.15,14.8,2.1,10.33,8.36,0.09,0.22,1.81
MB-1100,55.35,18.11,2.9,14.68,3.66,0.07,0.92,3.21
MB-2131,43.75,16.99,0.89,30.44,5.6,0.06,0.23,1
MB-6347,51.29,5.3,0.6,38.03,3.36,0.03,0.02,0.77
MB-9895,37.32,10.69,0.61,46.43,1.98,0.04,1.56,0.84
MB-7746,43.21,7.17,0.85,44.53,2.75,0.04,0.03,0.84
MB-5123,52.26,8.5,1.01,33.05,3.02,0.07,0.12,1.21
MB-3950,55.8,7.96,1.05,30.1,2.88,0.08,0.05,1.19
MB-6760,10.5,1.4,0.09,86.37,0.84,0.01,0,0.21
MB-3465,41.3,10.65,0.91,41.26,1.53,0.04,0.03,3.71
MB-7047,53.53,9.21,0.64,31.94,2.76,0.08,0.09,1.09
MB-1531,27.77,8.63,0.75,58.71,2.06,0.03,0.02,0.55
MB-1776,38.39,10.85,0.55,45.35,2.2,0.04,0.92,1.13
MB-4397,63.26,9.31,1.76,19.62,3.17,0.05,0.05,1.8
MB-3419,44.8,9.6,1.36,35.81,6.35,0.05,0.2,1.05
MB-2394,55.68,8.35,1.57,28.12,3.88,0.04,0.57,0.89
MB-9360,33.96,9.38,0.89,46.7,7.63,0.03,0.11,0.62
MB-9468,39.37,10.53,1.45,43.87,2.16,0.03,0.91,1
MB-7247,46.82,12.17,1.13,36.22,2,0.04,0.03,0.85
MB-4055,24.43,7.42,0.39,62.49,1.21,0.02,0.13,3.42
MB-7161,56.46,3.99,0.44,31.04,6.47,0.04,0.01,0.95
MB-3919,38.72,10.08,0.85,46.87,2.07,0.03,0.02,0.7
MB-9942,42.22,17.86,0.71,28.6,6.46,0.05,0.02,3.35
MB-1468,47.39,14.32,1.07,31.96,2.94,0.06,0.23,1.25
MB-3824,31.65,5.59,0.5,60.11,1.16,0.02,0.01,0.53
MB-4659,61.54,11.09,0.74,21.21,2.83,0.1,0.02,1.66
MB-1123,32.13,7.71,0.28,57.4,0.89,0.02,0.01,1.09
MB-6538,43.78,11.25,1.45,34.06,6.96,0.03,0.6,0.94
MB-3550,67.23,11.16,2.08,9.02,3.55,0.24,2.23,3.24
MB-3558,43.6,9.44,0.59,42.85,1.98,0.05,0.02,0.88
MB-9112,65.96,8.87,1.22,16.8,4.21,0.09,0.15,1.71
MB-4633,48.45,8.79,2.01,35.85,3.28,0.02,0.03,0.81
MB-4934,59.18,16.73,1.08,17.34,3.18,0.1,0.06,1.39
MB-1150,64.2,11.89,1.3,16.63,3.27,0.07,0.22,1.53
MB-1138,36.43,3.07,0.45,57.51,1.42,0.03,0.01,0.7
